,,Rank,School,Games,Wins,Losses,Win-Loss%,SRS,SOS,Conf Wins,Conf Losses,Home Wins,Home Losses,Away Wins,Away Losses,Points For,Points Against,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,NCAA,Conf Champ,Seed
2001,45,214,Penn State,33,21,12,.636,12.42,10.54,7,9,10,4,5,6,2535,2473,106.4,.391,.386,.545,44.7,57.6,11.7,8.0,.496,14.9,28.4,.299,True,False,7
2001,46,221,Princeton,27,16,11,.593,-2.53,-1.88,11,3,9,1,6,7,1562,1569,100.8,.302,.515,.568,46.2,70.9,11.6,7.8,.539,19.8,24.3,.219,True,False,15
2001,47,222,Providence,31,21,10,.677,13.74,5.44,11,5,13,3,8,3,2359,2049,106.2,.383,.344,.552,50.0,62.8,12.9,13.6,.514,17.9,36.0,.275,True,False,10
2001,48,235,Saint Joseph's,33,26,7,.788,12.72,4.45,14,2,13,1,10,5,2625,2352,110.2,.430,.381,.580,52.2,65.2,8.6,9.3,.549,17.5,33.5,.298,True,False,9
2001,49,254,Southern California,34,24,10,.706,16.53,10.83,11,7,13,3,7,5,2620,2420,106.7,.447,.305,.553,51.6,57.2,10.5,11.0,.513,17.8,35.7,.315,True,False,6
2001,50,258,Southern Utah,31,25,6,.806,3.01,-3.42,13,3,13,0,9,5,2243,2015,108.6,.420,.308,.584,50.9,59.0,15.5,9.6,.550,19.7,36.5,.300,True,True,14
2001,51,263,Stanford,34,31,3,.912,25.76,9.86,16,2,13,2,11,0,2829,2226,119.4,.484,.315,.617,55.6,59.6,7.9,7.7,.579,16.0,35.8,.360,True,False,1
2001,52,267,Syracuse,34,25,9,.735,11.14,5.82,10,6,15,2,4,5,2475,2294,104.3,.358,.272,.521,50.1,61.6,13.7,16.1,.482,15.7,35.2,.256,True,False,5
2001,53,268,Temple,37,24,13,.649,16.20,9.77,12,4,12,5,8,6,2604,2366,113.3,.310,.376,.523,50.1,44.9,11.7,12.9,.492,11.0,36.9,.217,True,True,11
2001,54,272,Tennessee,33,22,11,.667,15.49,10.28,8,8,13,3,6,6,2668,2496,106.9,.440,.352,.557,50.1,58.1,9.3,13.3,.524,18.1,34.3,.299,True,False,8
2001,55,282,Texas,34,25,9,.735,14.25,8.89,12,4,16,1,6,5,2396,2211,100.1,.420,.315,.502,50.4,50.5,11.2,14.0,.466,17.4,36.2,.273,True,False,6
2001,56,288,UCLA,32,23,9,.719,17.13,12.06,14,4,12,4,8,3,2544,2382,105.5,.426,.275,.543,51.7,51.4,10.3,10.5,.512,18.0,37.2,.282,True,False,4
2001,57,39,University of California,31,20,11,.645,14.76,9.08,11,7,14,3,5,7,2304,2128,105.5,.431,.296,.563,49.3,62.5,10.3,6.1,.530,17.2,27.9,.295,True,False,8
2001,58,289,Utah State,34,28,6,.824,9.97,-1.50,13,3,15,0,7,4,2404,1959,109.0,.423,.292,.570,52.9,60.0,10.0,11.1,.542,18.7,35.5,.285,True,True,12
2001,59,298,Virginia,29,20,9,.690,18.93,8.72,9,7,15,1,5,7,2464,2168,112.7,.403,.295,.552,53.9,49.3,10.1,8.4,.510,15.2,39.5,.297,True,False,5
2001,60,300,Wake Forest,30,19,11,.633,20.53,10.50,8,8,13,3,6,6,2296,1995,107.8,.336,.272,.546,50.7,55.5,10.3,11.6,.510,15.1,32.2,.244,True,False,7
2001,61,307,Western Kentucky,31,24,7,.774,8.67,-1.65,14,2,13,2,9,4,2303,1889,108.2,.377,.338,.546,56.8,55.7,11.6,13.2,.513,17.7,40.8,.260,True,True,14
2001,62,311,Winthrop,31,18,13,.581,-3.73,-7.80,11,3,11,1,5,8,2037,1917,100.2,.394,.366,.512,52.2,51.3,11.0,7.5,.472,18.1,35.8,.271,True,True,16
2001,63,312,Wisconsin,29,18,11,.621,14.90,12.08,9,7,13,2,5,7,1723,1641,99.4,.421,.354,.532,50.3,62.3,9.9,7.7,.491,17.2,27.1,.296,True,False,6
2001,64,316,Xavier,29,21,8,.724,12.14,4.59,12,4,14,1,7,5,2130,1911,104.4,.465,.355,.528,52.1,56.4,10.2,10.4,.481,17.1,37.2,.327,True,False,11
2002,0,6,Alabama,35,27,8,.771,16.93,7.67,12,4,17,0,4,4,2658,2334,,.408,.339,.538,52.8,50.5,,5.6,.492,16.5,,.300,True,False,2
2002,1,8,Alcorn State,31,21,10,.677,-11.28,-14.18,16,2,11,0,8,9,2473,2374,,.402,.237,.537,53.3,55.1,,6.4,.510,18.9,,.258,True,True,16
2002,2,12,Arizona,34,24,10,.706,16.93,12.49,12,6,13,4,6,5,2793,2642,,.446,.336,.565,50.4,56.4,,4.6,.522,16.2,,.326,True,True,3
2002,3,26,Boston College,32,20,12,.625,8.95,5.91,8,8,11,5,5,4,2354,2257,,.406,.329,.516,49.6,53.8,,5.8,.474,16.4,,.282,True,False,11
2002,4,27,Boston University,32,22,10,.688,-4.68,-7.81,13,3,11,2,9,6,2147,2047,,.368,.321,.517,51.9,53.3,,4.8,.481,16.7,,.254,True,True,16
2002,5,45,Central Connecticut State,32,27,5,.844,-1.10,-9.29,19,1,13,2,11,2,2280,2018,,.392,.223,.541,54.9,52.3,,5.8,.497,18.5,,.289,True,True,14
2002,6,49,Charlotte,30,18,12,.600,13.61,8.68,11,5,11,3,6,7,2205,2057,,.356,.391,.545,52.2,54.7,,4.1,.511,16.8,,.252,True,False,9
2002,7,52,Cincinnati,35,31,4,.886,24.38,6.58,14,2,18,0,7,3,2738,2115,,.405,.279,.554,54.0,49.6,,7.6,.517,14.4,,.287,True,True,1
